t(s),r(km),v(km/s)
1,6928.58,7.58068
2,6936.16,7.57239
3,6943.73,7.56411
4,6951.29,7.55585
5,6958.84,7.54761
6,6966.38,7.53939
7,6973.92,7.53119
8,6981.45,7.523
9,6988.97,7.51483
10,6996.48,7.50668
11,7003.98,7.49855
12,7011.47,7.49043
13,7018.96,7.48233
14,7026.44,7.47425
15,7033.91,7.46618
16,7041.37,7.45814
17,7048.83,7.45011
18,7056.27,7.44209
19,7063.71,7.4341
20,7071.14,7.42612
21,7078.56,7.41815
22,7085.98,7.41021
23,7093.38,7.40228
24,7100.78,7.39436
25,7108.17,7.38646
26,7115.55,7.37858
27,7122.93,7.37072
28,7130.29,7.36287
29,7137.65,7.35504
30,7145,7.34722
31,7152.35,7.33942
32,7159.68,7.33164
33,7167.01,7.32387
34,7174.33,7.31612
35,7181.64,7.30839
36,7188.95,7.30066
37,7196.24,7.29296
38,7203.53,7.28527
39,7210.82,7.2776
40,7218.09,7.26994
41,7225.36,7.2623
42,7232.61,7.25467
43,7239.86,7.24706
44,7247.11,7.23946
45,7254.34,7.23188
46,7261.57,7.22431
47,7268.79,7.21676
48,7276.01,7.20922
49,7283.21,7.2017
50,7290.41,7.1942
51,7297.6,7.1867
52,7304.78,7.17923
53,7311.96,7.17176
54,7319.13,7.16432
55,7326.29,7.15688
56,7333.44,7.14946
57,7340.59,7.14206
58,7347.72,7.13467
59,7354.85,7.12729
60,7361.98,7.11993
61,7369.09,7.11259
62,7376.2,7.10525
63,7383.3,7.09793
64,7390.4,7.09063
65,7397.49,7.08334
66,7404.57,7.07606
67,7411.64,7.0688
68,7418.7,7.06155
69,7425.76,7.05431
70,7432.81,7.04709
71,7439.86,7.03989
72,7446.89,7.03269
73,7453.92,7.02551
74,7460.94,7.01834
75,7467.96,7.01119
76,7474.97,7.00405
77,7481.97,6.99692
78,7488.96,6.98981
79,7495.95,6.98271
80,7502.92,6.97562
81,7509.9,6.96855
82,7516.86,6.96149
83,7523.82,6.95444
84,7530.77,6.9474
85,7537.71,6.94038
86,7544.65,6.93337
87,7551.58,6.92638
88,7558.5,6.91939
89,7565.42,6.91242
90,7572.33,6.90547
91,7579.23,6.89852
92,7586.13,6.89159
93,7593.01,6.88467
94,7599.9,6.87776
95,7606.77,6.87087
96,7613.64,6.86398
97,7620.5,6.85712
98,7627.35,6.85026
99,7634.2,6.84341
100,7641.04,6.83658
101,7647.87,6.82976
102,7654.7,6.82295
103,7661.52,6.81615
104,7668.33,6.80937
105,7675.14,6.8026
106,7681.94,6.79584
107,7688.73,6.78909
108,7695.51,6.78235
109,7702.29,6.77563
110,7709.06,6.76891
111,7715.83,6.76221
