t,x,y,vx,vy
1,680997,1000,997.362,1000
2,681992,2000,994.747,999.996
3,682984,2999.98,992.154,999.989
4,683974,3999.96,989.584,999.977
5,684961,4999.92,987.035,999.962
6,685945,5999.87,984.508,999.944
7,686927,6999.79,982.003,999.922
8,687907,7999.69,979.52,999.897
9,688884,8999.56,977.058,999.868
10,689859,9999.39,974.617,999.836
11,690831,10999.2,972.198,999.801
12,691801,11999,969.801,999.763
13,692768,12998.7,967.424,999.722
14,693733,13998.4,965.068,999.678
15,694696,14998,962.734,999.63
16,695656,15997.6,960.42,999.58
17,696614,16997.1,958.127,999.528
18,697570,17996.6,955.854,999.472
19,698524,18996,953.602,999.414
20,699475,19995.3,951.37,999.353
21,700424,20994.6,949.159,999.29
22,701371,21993.8,946.968,999.225
23,702316,22993,944.797,999.157
24,703259,23992.1,942.646,999.086
25,704199,24991.1,940.515,999.013
26,705138,25990,938.403,998.938
27,706074,26988.9,936.312,998.861
28,707008,27987.7,934.24,998.782
29,707940,28986.4,932.187,998.701
30,708871,29985,930.154,998.618
31,709799,30983.5,928.14,998.532
32,710725,31982,926.146,998.445
33,711649,32980.3,924.17,998.357
34,712571,33978.6,922.214,998.266
35,713492,34976.8,920.277,998.173
36,714410,35974.9,918.358,998.079
37,715326,36972.8,916.459,997.984
38,716241,37970.7,914.578,997.887
39,717154,38968.5,912.716,997.788
40,718064,39966.2,910.872,997.688
41,718974,40963.8,909.046,997.586
42,719881,41961.3,907.24,997.483
43,720786,42958.7,905.451,997.379
44,721690,43955.9,903.68,997.273
45,722592,44953.1,901.928,997.167
46,723492,45950.2,900.194,997.059
47,724391,46947.1,898.478,996.95
48,725287,47943.9,896.779,996.84
49,726182,48940.7,895.098,996.729
50,727076,49937.3,893.435,996.616
51,727968,50933.8,891.79,996.503
52,728858,51930.2,890.162,996.39
53,729746,52926.5,888.552,996.275
54,730633,53922.6,886.959,996.159
55,731519,54918.7,885.384,996.043
56,732402,55914.6,883.825,995.926
57,733285,56910.4,882.284,995.808
58,734166,57906.1,880.76,995.69
59,735045,58901.7,879.253,995.571
60,735923,59897.1,877.763,995.452
61,736799,60892.4,876.29,995.332
